english_word,checked_by
a little water,gpt-5.5
about,gpt-5.5
after,gpt-5.5
after tomorrow,gpt-5.5
again,gpt-5.5
all,gpt-5.5
almost,gpt-5.5
already,gpt-5.5
also,gpt-5.5
always,gpt-5.5
and,gpt-5.5
angry,gpt-5.5
are you sure,gpt-5.5
as soon as possible,gpt-5.5
at 2 o'clock,gpt-5.5
available,gpt-5.5
away,gpt-5.5
bad,gpt-5.5
beautiful,gpt-5.5
because,gpt-5.5
before,gpt-5.5
best,gpt-5.5
better,gpt-5.5
big,gpt-5.5
both,gpt-5.5
bottom,gpt-5.5
breakfast,gpt-5.5
bright,gpt-5.5
broken,gpt-5.5
busy,gpt-5.5
but,gpt-5.5
calm,gpt-5.5
careful,gpt-5.5
cheap,gpt-5.5
closed,gpt-5.5
cold,gpt-5.5
comfortable,gpt-5.5
correct,gpt-5.5
daily,gpt-5.5
dangerous,gpt-5.5
dark,gpt-5.5
day,gpt-5.5
days ago,gpt-5.5
deep,gpt-5.5
delicious,gpt-5.5
different,gpt-5.5
difficult,gpt-5.5
dirty,gpt-5.5
dry,gpt-5.5
early,gpt-5.5
east,gpt-5.5
easy,gpt-5.5
empty,gpt-5.5
enough,gpt-5.5
especially,gpt-5.5
everyday,gpt-5.5
excited,gpt-5.5
expensive,gpt-5.5
false,gpt-5.5
far,gpt-5.5
fast,gpt-5.5
fill in a form,gpt-5.5
finally,gpt-5.5
flat tire,gpt-5.5
for,gpt-5.5
free,gpt-5.5
frequently,gpt-5.5
fresh,gpt-5.5
from the house,gpt-5.5
full,gpt-5.5
fun,gpt-5.5
future,gpt-5.5
good,gpt-5.5
great,gpt-5.5
happy,gpt-5.5
hard,gpt-5.5
he-she,gpt-5.5
heavy,gpt-5.5
here,gpt-5.5
high,gpt-5.5
his/her,gpt-5.5
hot,gpt-5.5
How are you?,gpt-5.5
how long,gpt-5.5
how many,gpt-5.5
how much,gpt-5.5
how often,gpt-5.5
How old are you?,gpt-5.5
hungry,gpt-5.5
I,gpt-5.5
I am a teacher,gpt-5.5
I am fine,gpt-5.5
I am full,gpt-5.5
I can do it,gpt-5.5
I do it,gpt-5.5
I don't know,gpt-5.5
I must do it,gpt-5.5
I will do it,gpt-5.5
if,gpt-5.5
immediately,gpt-5.5
important,gpt-5.5
impossible,gpt-5.5
in detail,gpt-5.5
inside,gpt-5.5
just,gpt-5.5
kind,gpt-5.5
large,gpt-5.5
light,gpt-5.5
loud,gpt-5.5
low,gpt-5.5
lucky,gpt-5.5
main,gpt-5.5
maybe,gpt-5.5
month,gpt-5.5
more comfortable,gpt-5.5
my,gpt-5.5
My name is,gpt-5.5
near,gpt-5.5
never,gpt-5.5
new,gpt-5.5
newborn,gpt-5.5
nice,gpt-5.5
no,gpt-5.5
nobody,gpt-5.5
noisy,gpt-5.5
north,gpt-5.5
nothing,gpt-5.5
now,gpt-5.5
of the girl,gpt-5.5
on sale,gpt-5.5
on time,gpt-5.5
once a day,gpt-5.5
once in a while,gpt-5.5
only,gpt-5.5
or,gpt-5.5
other,gpt-5.5
our,gpt-5.5
outside,gpt-5.5
past,gpt-5.5
perfect,gpt-5.5
please,gpt-5.5
poor,gpt-5.5
present,gpt-5.5
pretty,gpt-5.5
price,gpt-5.5
quick,gpt-5.5
quiet,gpt-5.5
race,gpt-5.5
raise something,gpt-5.5
rarely,gpt-5.5
ready,gpt-5.5
recent,gpt-5.5
regularly,gpt-5.5
rich,gpt-5.5
right,gpt-5.5
sad,gpt-5.5
safe,gpt-5.5
salty,gpt-5.5
same,gpt-5.5
see you later,gpt-5.5
serious,gpt-5.5
sick,gpt-5.5
silent,gpt-5.5
similar,gpt-5.5
since yesterday,gpt-5.5
slow down,gpt-5.5
slowly,gpt-5.5
small,gpt-5.5
smart,gpt-5.5
soft,gpt-5.5
softer,gpt-5.5
softest,gpt-5.5
somebody,gpt-5.5
something,gpt-5.5
sometimes,gpt-5.5
sour,gpt-5.5
south,gpt-5.5
spicy,gpt-5.5
strong,gpt-5.5
suddenly,gpt-5.5
sweet,gpt-5.5
tall,gpt-5.5
taste,gpt-5.5
thank you,gpt-5.5
that,gpt-5.5
the most comfortable,gpt-5.5
their,gpt-5.5
then,gpt-5.5
Then,gpt-5.5
"there is, there are",gpt-5.5
these,gpt-5.5
These are my keys,gpt-5.5
they,gpt-5.5
thick,gpt-5.5
thin,gpt-5.5
thing,gpt-5.5
thirsty,gpt-5.5
this,gpt-5.5
those,gpt-5.5
though,gpt-5.5
tired,gpt-5.5
to add,gpt-5.5
to agree,gpt-5.5
to answer,gpt-5.5
to arrive,gpt-5.5
to ask a question,gpt-5.5
to bake,gpt-5.5
to be afraid of,gpt-5.5
to be late,gpt-5.5
to become a farmer,gpt-5.5
to begin,gpt-5.5
to believe,gpt-5.5
to break,gpt-5.5
to bring,gpt-5.5
to brush teeth,gpt-5.5
to build,gpt-5.5
to buy,gpt-5.5
to call,gpt-5.5
to cancel,gpt-5.5
to carry,gpt-5.5
to catch,gpt-5.5
to change,gpt-5.5
to check,gpt-5.5
to check in,gpt-5.5
to choose,gpt-5.5
to clean,gpt-5.5
to climb,gpt-5.5
to close,gpt-5.5
to collect,gpt-5.5
to comb hair,gpt-5.5
to come,gpt-5.5
to compare,gpt-5.5
to complete,gpt-5.5
to connect,gpt-5.5
to cook,gpt-5.5
to cost,gpt-5.5
to count,gpt-5.5
to cross,gpt-5.5
to cry,gpt-5.5
to cut,gpt-5.5
to decide,gpt-5.5
to deliver,gpt-5.5
to depart,gpt-5.5
to deposit,gpt-5.5
to describe,gpt-5.5
to discuss,gpt-5.5
to do homework,gpt-5.5
to do the dishes,gpt-5.5
to dream,gpt-5.5
to drink,gpt-5.5
to drive,gpt-5.5
to eat,gpt-5.5
to end,gpt-5.5
to enjoy,gpt-5.5
to enter,gpt-5.5
to explain,gpt-5.5
to fall,gpt-5.5
to feed,gpt-5.5
to feel,gpt-5.5
to fill up,gpt-5.5
to find,gpt-5.5
to finish,gpt-5.5
to fit,gpt-5.5
to fly,gpt-5.5
to follow,gpt-5.5
to forget,gpt-5.5
to get out,gpt-5.5
to get up,gpt-5.5
to give,gpt-5.5
to go back,gpt-5.5
to go to a place,gpt-5.5
to grow,gpt-5.5
to happen,gpt-5.5
to have,gpt-5.5
to heat,gpt-5.5
to help,gpt-5.5
to him/her,gpt-5.5
to hit,gpt-5.5
to hold,gpt-5.5
to hope,gpt-5.5
to hurry,gpt-5.5
to hurt,gpt-5.5
to improve,gpt-5.5
to include,gpt-5.5
to jump,gpt-5.5
to keep,gpt-5.5
to kiss,gpt-5.5
to know,gpt-5.5
to land,gpt-5.5
to laugh,gpt-5.5
to learn,gpt-5.5
to leave the house,gpt-5.5
to let,gpt-5.5
to lie down,gpt-5.5
to like,gpt-5.5
to listen to,gpt-5.5
to live,gpt-5.5
to look at,gpt-5.5
to look for,gpt-5.5
to lose,gpt-5.5
to love,gpt-5.5
to make,gpt-5.5
to me,gpt-5.5
to meet,gpt-5.5
to miss,gpt-5.5
to move something,gpt-5.5
to need,gpt-5.5
to notice,gpt-5.5
to open,gpt-5.5
to open an account,gpt-5.5
to order,gpt-5.5
to own,gpt-5.5
to pay,gpt-5.5
to pick apples,gpt-5.5
to plant something,gpt-5.5
to play,gpt-5.5
to practice,gpt-5.5
to prefer,gpt-5.5
to prepare,gpt-5.5
to pull,gpt-5.5
to push,gpt-5.5
to put,gpt-5.5
to read,gpt-5.5
to receive,gpt-5.5
to recommend,gpt-5.5
to remember,gpt-5.5
to remove,gpt-5.5
to repair,gpt-5.5
to repeat,gpt-5.5
to replace,gpt-5.5
to rest,gpt-5.5
to return,gpt-5.5
to return something,gpt-5.5
to ride a horse,gpt-5.5
to run,gpt-5.5
to run away,gpt-5.5
to save,gpt-5.5
to say,gpt-5.5
to scare,gpt-5.5
to score,gpt-5.5
to sell,gpt-5.5
to send,gpt-5.5
to share,gpt-5.5
to shop,gpt-5.5
to shout,gpt-5.5
to show,gpt-5.5
to sign,gpt-5.5
to sing,gpt-5.5
to sit,gpt-5.5
to sleep,gpt-5.5
to smile,gpt-5.5
to spend,gpt-5.5
to stand up,gpt-5.5
to start,gpt-5.5
to stop,gpt-5.5
to study,gpt-5.5
to suggest,gpt-5.5
to swim,gpt-5.5
to take,gpt-5.5
to take a shower,gpt-5.5
to talk,gpt-5.5
to tell,gpt-5.5
to the school,gpt-5.5
to them,gpt-5.5
to think,gpt-5.5
to throw,gpt-5.5
to touch,gpt-5.5
to travel,gpt-5.5
to try,gpt-5.5
to try on,gpt-5.5
to turn left,gpt-5.5
to understand,gpt-5.5
to us,gpt-5.5
to use,gpt-5.5
to wait,gpt-5.5
to wake up,gpt-5.5
to walk,gpt-5.5
to want,gpt-5.5
to wash,gpt-5.5
to watch,gpt-5.5
to wear,gpt-5.5
to win,gpt-5.5
to withdraw money,gpt-5.5
to work,gpt-5.5
to write,gpt-5.5
to you,gpt-5.5
today,gpt-5.5
together,gpt-5.5
tomorrow,gpt-5.5
top,gpt-5.5
tough,gpt-5.5
true,gpt-5.5
turn off the light,gpt-5.5
turn on the light,gpt-5.5
twice a week,gpt-5.5
ugly,gpt-5.5
until next week,gpt-5.5
usually,gpt-5.5
very,gpt-5.5
warm,gpt-5.5
we,gpt-5.5
weak,gpt-5.5
week,gpt-5.5
well,gpt-5.5
west,gpt-5.5
wet,gpt-5.5
what,gpt-5.5
What is this?,gpt-5.5
what kind of dog,gpt-5.5
what time?,gpt-5.5
when,gpt-5.5
where,gpt-5.5
where are you from?,gpt-5.5
which,gpt-5.5
while,gpt-5.5
who are you?,gpt-5.5
Who else?,gpt-5.5
who?,gpt-5.5
why,gpt-5.5
wide,gpt-5.5
wild,gpt-5.5
with,gpt-5.5
without,gpt-5.5
wrong,gpt-5.5
year,gpt-5.5
yes,gpt-5.5
yesterday,gpt-5.5
you,gpt-5.5
young,gpt-5.5
your,gpt-5.5
